3, ROBUSTE   , 02 mars 2022 , Comédie Dramatique   (1h35)  ,Constance Meyer,"Gérard Depardieu, Déborah Lukumuena, Lucas Mortier","Lorsque son bras droit et seul compagnon doit s’absenter pendant plusieurs semaines, Georges, star de cinéma vieillissante, se voit attribuer une remplaçante, Aïssa. Entre l’acteur désabusé et la jeune agente de sécurité, un lien unique va se nouer."
0, LA FETE DU COURT 2022 : FAIS-MOI RIRE   , 16 mars 2022 , Comédie   (1h21)  ,,,Programme de six courts métrages comiques à l'occasion de la Fête du court métrage 2022.
0," MOI, DANIEL BLAKE   ", 26 octobre 2016 , Drame   (1h40)  ,Ken Loach,"Dave Johns, Hayley Squires, Dylan McKiernan","Pour la première fois de sa vie, Daniel Blake, un menuisier anglais de 59 ans, est contraint de faire appel à laide sociale à la suite de problèmes cardiaques. Mais bien que son médecin lui ait interdit de travailler, il se voit signifier l'obligation d'une recherche d'emploi sous peine de sanction."
0, KES   , 30 janvier 1991 , Drame   (1h51)  ,Ken Loach,"David Bradley (II), Colin Welland, Freddie Fletcher","Billy, douze ans, vit dans une petite ville minière du nord-est de l'Angleterre. Il ne supporte plus son univers : sa mère l'ignore, son frère le traite en souffre-douleur et à l'école, distrait et indiscipliné, ses camarades et professeurs lui sont hostiles. Un jour, il trouve un jeune rapace et décide de dresser l'oiseau. Son professeur lui demande d'exposer à la classe l'art de dresse un faucon. Billy réussit enfin à intéresser ses camarades..."
0, JIMMY'S HALL   , 02 juillet 2014 ," Drame, Historique   (1h50)  ",Ken Loach,"Barry Ward, Simone Kirby, Andrew Scott","1932. Après un exil de 10 ans aux États-Unis, Jimmy Gralton rentre au pays. Dans l'Irlande qu'il retrouve, une dizaine d'années après la guerre civile, tous les espoirs sont permis... Malgré sa réticence à provoquer ses vieux ennemis comme l'Église, le jeune militant décide de rouvrir le ""Hall"", foyer de jeunesse gratuit et ouvert à tous où l'on se retrouve pour danser, étudier ou discuter. Mais ses idées progressistes ne sont pas du goût de tout le monde au village, et les tensions refont surface."
4, ALICE AU PAYS DES MERVEILLES - DISNEY   , 21 décembre 1951 ," Aventure, Fantastique, Animation   (1h15)  ","Hamilton Luske, Wilfred Jackson, Clyde Geronomi",,"Alors qu'elle se repose sous un arbre, Alice voit passer un lapin blanc. Curieuse, elle le suit et tombe dans un puits. Elle se retrouve dans un monde étrange où se côtoient diverses créatures, certaines amusantes, d'autres terrifiantes, comme la Reine de Coeur qui coupe la tête à tout le monde."
0, LA PART DES ANGES   , 27 juin 2012 , Comédie Dramatique   (1h41)  ,Ken Loach,"Paul Brannigan, John Henshaw, Gary Maitland","A Glasgow, Robbie, tout jeune père de famille, est constamment rattrapé par son passé de délinquant. Il croise la route de Rhino, Albert et la jeune Mo lorsque, comme eux, il échappe de justesse à la prison mais écope d’une peine de travaux d’intérêts généraux."
4, THE BATMAN   , 02 mars 2022 ,"Le climat général du film, ainsi que certaines scènes de violence, sont susceptibles de heurter un public sensible.",Matt Reeves,"Robert Pattinson, Zoë Kravitz, Paul Dano","Lorsqu'un tueur s'en prend à l'élite de Gotham par une série de machinations sadiques, une piste d'indices cryptiques envoie Bruce Wayne alias Batman sur une enquête dans la pègre, où il rencontre des personnages tels que Selina Kyle, alias Catwoman, Oswald Cobblepot, alias le Pingouin, Carmine Falcone et Edward Nashton, alias l’Homme-Mystère."
4, MAISON DE RETRAITE   , 16 février 2022 , Comédie   (1h38)  ,Thomas Gilou,"Kev Adams, Gérard Depardieu, Daniel Prévost","Afin d’éviter la case prison, Milann, 30 ans, est contraint d’effectuer 300 heures de travaux d’intérêts généraux dans une maison de retraite. Au fil des semaines, il découvre que l’établissement profite de la vulnérabilité de ses pensionnaires pour les arnaquer."
4," ENCANTO, LA FANTASTIQUE FAMILLE MADRIGAL   ", 24 novembre 2021 ," Famille, Comédie, Fantastique, Animation   (1h42)  ","Byron Howard, Jared Bush",,"Dans un mystérieux endroit niché au cœur des montagnes de Colombie, la fantastique famille Madrigal habite une maison enchantée dans une cité pleine de vie, un endroit merveilleux appelé Encanto."
5, NO COUNTRY FOR OLD MEN   , 23 janvier 2008 ," Thriller, Drame, Western   (2h03)  ","Joel Coen, Ethan Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin","La cavale, à travers le Texas, d'un homme ayant découvert une mallette lui ouvrant le chemin vers la richesse et.. les ennuis !"
5, PRINCESSE MONONOKE   , 12 janvier 2000 ," Drame, Animation   (2h12)  ",Hayao Miyazaki,,"Japon, durant l'ère Muromachi (1333-1568). Au nord de l'archipel vit une tribu pacifique, les Emishi, dont le futur chef est le jeune prince Ashitaka. Blessé par un sanglier possédé par une divinité néfaste qui le condamne à mort, il doit partir vers l'Orient à la recherche du dieu-cerf qui, seul, peut lever la malédiction. Au bout d'un long voyage semé d'embûches, il tombe sur le village des Tatara. Il y rencontrera San, surnommée ""Princesse Mononoké"", qui le guidera vers le dieu-cerf."
4, H6   , 02 février 2022 , Documentaire   (1h55)  ,Ye Ye,,Le destin de cinq familles se joue à l’hôpital N°6 de Shanghai. A travers leurs histoires croisées se dessine un portrait de la Chine d’aujourd’hui entre culture traditionnelle et modernité.
0, GOLDA MARIA   , 09 février 2022 , Documentaire   (1h56)  ,"Patrick Sobelman, Hugo Sobelman",,"En 1994, Patrick Sobelman filme chez elle sa grand-mère Golda Maria Tondovska. Face à la caméra, ses souvenirs reviennent, de son enfance en Pologne à sa vie de femme en France, nous livrant le témoignage vivant d'une femme juive née en 1910."
4, BELFAST   , 02 mars 2022 , Drame   (1h38)  ,Kenneth Branagh,"Caitriona Balfe, Jamie Dornan, Jude Hill",Chronique de la vie d'un petit garçon irlandais et sa famille ouvrière au milieu des émeutes de la fin des années 60.
